mapX,mapY,sourceX,sourceY,enable,dX,dY,residual
563046.36792531004175544,8566592.94401943497359753,563094.82328766374848783,8566637.4325327705591917,1,-1.12827647478661675,-0.71595365092935026,1.33626248687747751
562772.18940929335076362,8566538.00276241824030876,562817.88107702718116343,8566582.40278030931949615,1,0.622100428221529,-1.42253180847853855,1.55261253663836918
562585.38435819710139185,8566473.13906077854335308,562630.79951818974222988,8566521.376538360491395,1,0.28789042559583322,1.99812628634856537,2.01875940947574506
561789.42978220945224166,8566902.38104452006518841,561831.72550187399610877,8566961.62032269313931465,1,-0.576301332301,0.65756163902932485,0.87436293078723304
561785.6346457313047722,8566918.19411317445337772,561826.77284410584252328,8566976.47829599492251873,1,0.51771008884884395,-0.62762078562542456,0.8135917813282979
560787.81495325569994748,8565757.78595476038753986,560830.06742946116719395,8565811.92527424730360508,1,0.19827287037372798,-0.4387696208784746,0.48148822553835879
562013.23929647216573358,8565113.17321797087788582,562058.96841316530480981,8565159.78310954384505749,1,0.04944886849239083,-0.0378245186238928,0.06225660450351413
560561.76732073095627129,8565531.26599448546767235,560604.81485761574003845,8565586.3241281732916832,1,-0.20539862240272555,0.27981097935071375,0.34710629243812763
563059.58591097162570804,8565494.43611257523298264,563107.26343125989660621,8565541.95125928707420826,1,-0.03060087559924796,0.02938895046372636,0.04242786816232947
563878.20822736551053822,8566840.69782044738531113,563928.79395888315048069,8566886.31910231895744801,1,0.26515462355609998,0.27781252934244094,0.38404007063433065
